#sep=;
#Timestamp [us];Power measure [W]
3.492631;36.0240
3.499521;36.0240
3.508022;36.0300
3.512170;36.0300
3.519503;36.0300
3.527935;36.0240
3.532063;36.0240
3.539563;36.0240
3.548022;36.0300
3.552432;36.0300
3.559549;36.0300
3.568107;36.1230
3.572600;36.1230
3.579473;36.1230
3.588119;36.0240
3.593098;36.0240
3.599694;36.0240
3.608205;36.1230
3.613243;36.1230
3.619853;36.1230
3.628096;36.0240
3.633415;36.0240
3.640042;36.0240
3.648129;36.0300
3.659546;36.0300
3.668128;36.1290
3.679467;36.1290
3.688162;36.0240
3.699360;36.0240
3.708303;36.0300
3.719364;36.0300
3.728187;36.1290
3.739419;36.1290
3.748228;36.0300
3.759441;36.0300
3.768345;36.1290
3.779335;36.1290
3.788272;36.0240
3.792841;36.0240
3.800251;36.0240
3.808501;36.1290
3.813069;36.1290
3.820526;36.1290
3.828345;36.0300
3.832641;36.0300
3.840204;36.0300
3.848336;36.0300
3.853254;36.0300
3.860582;36.0300
3.868423;36.0300
3.872724;36.0300
3.880252;36.0300
3.888373;36.0300
3.899274;36.0300
3.903497;36.0300
3.909743;36.0300
3.919378;36.0300
3.928498;36.0300
3.933026;36.0300
3.940674;36.0300
3.948475;36.0300
3.953100;36.0300
3.961908;36.0300
3.968684;36.0300
3.972983;36.0300
3.981071;36.0300
3.988540;36.0240
3.999179;36.0240
4.003345;36.0240
4.009547;36.0240
4.019171;36.0240
4.023313;36.0240
4.029533;36.0240
4.039268;36.0240
4.043421;36.0240
4.049669;36.0240
4.059188;36.0240
4.063369;36.0240
4.069580;36.0240
4.079270;36.0240
4.083482;36.0240
4.089819;36.0300
4.099121;36.0300
4.103335;36.0300
4.109539;36.0240
4.119108;36.0240
4.123252;36.0240
4.129501;36.0240
4.139150;36.0240
4.143285;36.0240
4.149494;36.1290
4.159104;36.1290
4.163268;36.1290
4.169490;36.0240
4.179038;36.0240
4.183170;36.0240
4.189416;36.0300
4.199034;36.0300
4.203254;36.0300
4.209552;36.1290
4.219004;36.1290
4.223137;36.1290
4.229379;36.0300
4.239020;36.0300
4.243164;36.0300
4.249403;36.1290
4.259061;36.1290
4.263349;36.1290
4.269552;36.0300
4.279128;36.0300
4.283258;36.0300
4.289461;36.1290
4.298964;36.1290
4.303429;36.1290
4.309702;36.0300
4.318936;36.0300
4.323749;36.0300
4.329944;36.0300
4.338972;36.0300
4.344028;36.0300
4.350263;36.0240
4.358963;36.0240
4.369241;36.1290
4.378876;36.1290
4.389112;36.0300
4.398892;36.0300
4.409531;36.0300
4.418870;36.0300
4.429339;36.0300
4.438840;36.0300
4.449242;36.0300
4.458883;36.0300
4.469272;36.0300
4.478830;36.0300
4.483071;36.0300
4.490257;36.0300
4.498847;36.0300
4.509491;36.0300
4.518802;36.0300
4.523453;36.0300
4.531137;36.0300
4.538870;36.0300
4.543472;36.0300
4.550624;36.0300
4.558807;36.0300
4.563429;36.0300
4.571318;36.0300
4.578762;36.0300
4.583721;36.0300
4.590898;36.0300
4.598752;36.0300
4.603934;36.0300
4.611075;36.0300
4.618731;36.0300
4.623066;36.0300
4.630886;36.0240
4.638711;36.0240
4.642939;36.0240
4.650930;36.0240
4.658783;36.0240
4.663037;36.0240
4.671301;36.0240
4.678679;36.0240
4.682930;36.0240
4.691695;36.0240
4.698732;36.0240
4.703197;36.0240
4.722504;36.0240
4.729836;36.0240
4.738702;36.0240
4.742856;36.0240
4.749783;36.1230
4.758675;36.1230
4.762837;36.1230
4.769889;36.0240
4.778634;36.0240
4.782788;36.0240
4.789809;36.0300
4.798602;36.0300
4.802984;36.0300
4.810001;36.0300
4.818617;36.0300
4.822780;36.0300
4.830073;36.0300
4.838599;36.0300
4.842778;36.0300
4.849956;36.0300
4.858604;36.0300
4.862770;36.0300
4.869922;36.0300
4.878529;36.0300
4.882718;36.0300
4.889964;36.1290
4.898704;36.1290
4.902935;36.1290
4.910494;36.0300
4.918536;36.0300
4.922718;36.0300
4.930144;36.0300
4.938588;36.0300
4.942748;36.0300
4.950021;36.0300
4.958537;36.0300
4.962705;36.0300
4.970163;36.0300
4.978461;36.0300
4.982612;36.0300
4.990070;36.0300
4.998483;36.0300
5.003288;36.0300
5.011681;36.0240
5.018466;36.0240
5.022639;36.0240
5.030524;36.1230
5.038429;36.1230
5.042620;36.1230
5.050467;36.0240
5.058461;36.0240
5.062630;36.0240
5.070432;36.0240
5.078447;36.0240
5.082600;36.0240
5.090485;36.0240
5.098613;36.0240
5.103126;36.0240
5.110642;36.0300
5.118402;36.0300
5.122568;36.0300
5.131148;36.1290
5.138689;36.1290
5.142852;36.1290
5.150768;36.0300
5.158699;36.0300
5.162860;36.0300
5.170733;36.0240
5.178952;36.0240
5.183835;36.0240
5.190692;36.0240
5.199373;36.0240
5.203549;36.0240
5.210936;36.1230
5.219781;36.1230
5.223945;36.1230
5.231202;36.1230
5.240056;36.1230
5.244221;36.1230
5.250899;36.1230
5.260764;36.1230
5.264949;36.1230
5.271186;36.1230
5.280675;36.1230
5.285478;36.1230
5.291757;36.1230
5.301224;36.1230
5.305576;36.1230
5.312049;36.0240
5.331178;36.1290
5.338603;36.1290
5.342751;36.1290
5.351016;36.0300
5.358430;36.0300
5.362572;36.0300
5.371026;36.0240
5.378354;36.0240
5.382496;36.0240
5.390928;36.0300
5.398338;36.0300
5.402483;36.0300
5.411177;36.0300
5.418522;36.0300
5.422661;36.0300
5.431096;36.1290
5.438288;36.1290
5.442410;36.1290
5.451181;36.0240
5.458326;36.0240
5.462444;36.0240
5.471090;36.0300
5.478272;36.0300
5.482405;36.0300
5.491099;36.0240
5.498240;36.0240
5.502377;36.0240
5.511268;36.0240
5.520546;36.0240
5.524726;36.0240
5.531762;36.0240
